Gene Symbol	Alias(es)	Gene Name(s)
ADGRF3	G protein-coupled receptor 113; hGPCR37,PGR23	adhesion G protein-coupled receptor F3
ADGRF4	FLJ38076,PGR18; G protein-coupled receptor 115	adhesion G protein-coupled receptor F4
ADGRF5	DKFZp564O1923,KIAA0758; G protein-coupled receptor 116	adhesion G protein-coupled receptor F5
ADGRG1	G protein-coupled receptor 56; TM7LN4,TM7XN1	adhesion G protein-coupled receptor G1
ADGRG2	G protein-coupled receptor 64; HE6,TM7LN2,EDDM6; epididymal protein 6	adhesion G protein-coupled receptor G2
ADGRG3	Pb99,PGR26; G protein-coupled receptor 97	adhesion G protein-coupled receptor G3
ADGRG5	G protein-coupled receptor 114; PGR27	adhesion G protein-coupled receptor G5
ADGRG6	G protein-coupled receptor 126; FLJ14937	adhesion G protein-coupled receptor G6
ADGRL1	latrophilin 1; KIAA0821,CIRL1,LEC2	adhesion G protein-coupled receptor L1
ADGRL2	latrophilin 1,latrophilin 2; calcium-independent alpha-latrotoxin receptor 2; KIAA0786,LEC1,CIRL2	adhesion G protein-coupled receptor L2
ADGRL4	EGF, latrophilin and seven transmembrane domain containing 1; ETL	adhesion G protein-coupled receptor L4
ADGRV1	monogenic, audiogenic seizure susceptibility 1 homolog (mouse),G protein-coupled receptor 98; DKFZp761P0710,KIAA0686,FEB4,VLGR1	adhesion G protein-coupled receptor V1
ADIPOQ	ACRP30,apM1,GBP28,adiponectin; adipocyte, C1Q and collagen domain containing; adipose most abundant gene transcript 1,adiponectin precursor	adiponectin, C1Q and collagen domain containing
ADIRF	chromosome 10 open reading frame 116; APM2,AFRO; adipose specific 2,adipose most abundant gene transcript 2,adipogenesis factor rich in obesity	adipogenesis regulatory factor
ADM2	AM2,FLJ21135	adrenomedullin 2
ADORA2A	RDC8	adenosine A2a receptor
AGR2	protein disulfide isomerase family A, member 17; anterior gradient 2 homolog (Xenopus laevis); XAG-2,HAG-2,AG2,PDIA17	anterior gradient 2, protein disulphide isomerase family member
AHI1	FLJ20069,ORF1,JBTS3; Jouberin; Abelson helper integration site	Abelson helper integration site 1
AHR	bHLHe76	aryl hydrocarbon receptor
AKT1	protein kinase B; RAC,PKB,PRKBA,AKT,RAC-alpha; v-akt murine thymoma viral oncogene homolog 1	AKT serine/threonine kinase 1
ALCAM	CD166,MEMD; activated leucocyte cell adhesion molecule	activated leukocyte cell adhesion molecule
ANGPT1	KIAA0003,Ang1	angiopoietin 1
ANGPT2	Ang2	angiopoietin 2
ANGPT4		angiopoietin 4
ANGPTL1	angioarrestin; angiopoietin-like 1; ANG3,AngY,ARP1	angiopoietin like 1
ANXA1		annexin A1
ANXA2	LIP2; annexin II	annexin A2
ANXA4		annexin A4
APOA1	apolipoprotein A-I	apolipoprotein A1
APOB	apolipoprotein B (including Ag(x) antigen)	apolipoprotein B
APOD		apolipoprotein D
APP	peptidase nexin-II; Alzheimer disease,amyloid beta (A4) precursor protein; alpha-sAPP	amyloid beta precursor protein
AQP3	GIL; aquaporin 3,aquaporin 3 (GIL blood group); Gill blood group	aquaporin 3 (Gill blood group)
AR	AIS,NR3C4,SMAX1,HUMARA; dihydrotestosterone receptor,spinal and bulbar muscular atrophy; testicular feminization,Kennedy disease	androgen receptor
AREG	schwannoma-derived growth factor,amphiregulin B	amphiregulin
ARF1		ADP ribosylation factor 1
ARG1	arginase, liver	arginase 1
ARHGDIB	Ly-GDI,RhoGDI2; Rho GDP dissociation inhibitor (GDI) beta	Rho GDP dissociation inhibitor beta
ARTN	NBN,EVN,ENOVIN; neublastin,neurotrophic factor	artemin
ATF3		activating transcription factor 3
ATG10	APG10 autophagy 10-like (S. cerevisiae),ATG10 autophagy related 10 homolog (S. cerevisiae); DKFZP586I0418,FLJ13954	autophagy related 10
ATG12	APG12; APG12 autophagy 12-like; Apg12 (autophagy 12, S. cerevisiae)-like,APG12 autophagy 12-like (S. cerevisiae),ATG12 autophagy related 12 homolog (S. cerevisiae)	autophagy related 12
ATG5	APG5 (autophagy 5, S. cerevisiae)-like,APG5 autophagy 5-like (S. cerevisiae),ATG5 autophagy related 5 homolog (S. cerevisiae); ASP,APG5,hAPG5	autophagy related 5
ATM	TEL1, telomere maintenance 1, homolog (S. cerevisiae); ataxia telangiectasia mutated (includes complementation groups A, C and D),ataxia telangiectasia mutated; TEL1,TELO1	ATM serine/threonine kinase
ATR	ataxia telangiectasia and Rad3 related; FRP1,SCKL,SCKL1,MEC1; MEC1, mitosis entry checkpoint 1, homolog (S. cerevisiae)	ATR serine/threonine kinase
AXL	UFO,JTK11,Tyro7,ARK	AXL receptor tyrosine kinase
AZGP1	ZA2G,ZAG; alpha-2-glycoprotein 1, zinc	alpha-2-glycoprotein 1, zinc-binding
AZU1	AZU,CAP37,AZAMP,HBP,NAZC,HUMAZUR; cationic antimicrobial protein 37,heparin-binding protein,neutrophil azurocidin	azurocidin 1
B2M		beta-2-microglobulin
B3GNT7	beta3GnT7	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7
BAG3	BCL2 associated athanogene 3; BAG family molecular chaperone regulator 3	BAG cochaperone 3
BATF3	Jun dimerization protein 1; basic leucine zipper transcription factor, ATF-like 3; JUNDM1,SNFT,JDP1	basic leucine zipper ATF-like transcription factor 3
BAX	BCL2-associated X protein,BCL2 associated X protein; BCL2L4	BCL2 associated X, apoptosis regulator
BCL2	B-cell CLL/lymphoma 2,BCL2, apoptosis regulator; protein phosphatase 1, regulatory subunit 50; Bcl-2,PPP1R50	BCL2 apoptosis regulator
BCL2L1	BCLX,BCL2L,Bcl-X,bcl-xL,bcl-xS,PPP1R52; protein phosphatase 1, regulatory subunit 52	BCL2 like 1
BECN1	ATG6 autophagy related 6 homolog (S. cerevisiae); beclin 1 (coiled-coil, moesin-like BCL2 interacting protein),beclin 1, autophagy related; ATG6,VPS30	beclin 1
BEST1	BMD,BEST,RP50; vitelliform macular dystrophy 2; Best disease	bestrophin 1
BGN	DSPG1,SLRR1A; biglycan proteoglycan	biglycan
BID		BH3 interacting domain death agonist
BIRC5	EPR-1,survivin; apoptosis inhibitor 4,baculoviral IAP repeat-containing 5; survivin variant 3 alpha	baculoviral IAP repeat containing 5
BMP1	procollagen C-endopeptidase,tolloid-like; BMP-1; procollagen C-endopeptidase	bone morphogenetic protein 1
BMP2		bone morphogenetic protein 2
BMP3	bone morphogenetic protein 3 (osteogenic); osteogenin	bone morphogenetic protein 3
BMP4		bone morphogenetic protein 4
BMP5		bone morphogenetic protein 5
BMP6	vegetal related growth factor (TGFB-related); VGR1	bone morphogenetic protein 6
BMP7	osteogenic protein 1; OP-1	bone morphogenetic protein 7
BMPR1A	bone morphogenetic protein receptor, type IA; ALK3,CD292	bone morphogenetic protein receptor type 1A
BMPR2	primary pulmonary hypertension 1,bone morphogenetic protein receptor, type II (serine/threonine kinase),bone morphogenetic protein receptor type II; BRK-3,T-ALK,BMPR3,BMPR-II	bone morphogenetic protein receptor type 2
BMX	ETK,PSCTK3; BTK-like on X chromosome	BMX non-receptor tyrosine kinase
BRCA1	RNF53,BRCC1,PPP1R53,FANCS; BRCA1/BRCA2-containing complex, subunit 1,protein phosphatase 1, regulatory subunit 53,Fanconi anemia, complementation group S; breast cancer 1, early onset,breast cancer 1	BRCA1 DNA repair associated
BST1	NAD(+) nucleosidase,ADP-ribosyl cyclase 2; CD157,BST-1	bone marrow stromal cell antigen 1
BST2	antiviral factor tetherin; CD317,tetherin,BST-2,HM1.24	bone marrow stromal cell antigen 2
BTG1	B-cell translocation gene 1, anti-proliferative; APRO2	BTG anti-proliferation factor 1
BTK	Bruton's tyrosine kinase; Bruton agammaglobulinemia tyrosine kinase; ATK,XLA,PSCTK1	Bruton tyrosine kinase
C11orf96	AG2	chromosome 11 open reading frame 96
C1QA	complement component 1, q subcomponent, alpha polypeptide,complement component 1, q subcomponent, A chain,complement C1q chain A	complement C1q A chain
C1QB	complement component 1, q subcomponent, beta polypeptide,complement component 1, q subcomponent, B chain,complement C1q chain B	complement C1q B chain
C1QC	complement component 1, q subcomponent, gamma polypeptide,complement component 1, q subcomponent, C chain	complement C1q C chain
C5AR2	C5L2; G protein-coupled receptor 77	complement component 5a receptor 2
C9orf16	BBLN	bublin coiled coil protein
CALB1	calbindin 1, 28kDa	calbindin 1
CALD1	CDM,H-CAD,L-CAD	caldesmon 1
CALM1	calmodulin 1 (phosphorylase kinase, delta); CAMI,PHKD,DD132; prepro-calmodulin 1,phosphorylase kinase subunit delta	calmodulin 1
CALM2	prepro-calmodulin 2,phosphorylase kinase subunit delta; PHKD,CAMII; calmodulin 2 (phosphorylase kinase, delta)	calmodulin 2
CALM3	calmodulin 3 (phosphorylase kinase, delta); PHKD; prepro-calmodulin 3,phosphorylase kinase subunit delta	calmodulin 3
CAMP	CAP18,FALL39,FALL-39,LL37	cathelicidin antimicrobial peptide
CASP3	caspase 3, apoptosis-related cysteine protease,caspase 3, apoptosis-related cysteine peptidase; CPP32,CPP32B,Yama,apopain	caspase 3
CASP8	MCH5,MACH,FLICE,Casp-8; caspase 8, apoptosis-related cysteine protease,caspase 8, apoptosis-related cysteine peptidase	caspase 8
CASR	hypocalciuric hypercalcemia 1,calcium-sensing receptor; severe neonatal hyperparathyroidism; FHH,NSHPT,GPRC2A	calcium sensing receptor
CAV1	caveolin 1, caveolae protein, 22kD,caveolin 1, caveolae protein, 22kDa	caveolin 1
CCL11	small inducible cytokine subfamily A (Cys-Cys), member 11 (eotaxin),chemokine (C-C motif) ligand 11; eotaxin,MGC22554; eotaxin-1	C-C motif chemokine ligand 11
CCL13	small inducible cytokine subfamily A (Cys-Cys), member 13,chemokine (C-C motif) ligand 13; MCP-4,NCC-1,SCYL1,CKb10,MGC17134	C-C motif chemokine ligand 13
CCL15	leukotactin 1,CC chemokine 3,macrophage inflammatory protein 5,chemokine CC-2,MIP-1 delta; HCC-2,NCC-3,SCYL3,MIP-5,Lkn-1,MIP-1d,HMRP-2B; small inducible cytokine subfamily A (Cys-Cys), member 15,chemokine (C-C motif) ligand 15	C-C motif chemokine ligand 15
CCL18	DC-CK1,PARC,AMAC-1,DCCK1,MIP-4,CKb7; pulmonary and activation-regulated; small inducible cytokine subfamily A (Cys-Cys), member 18, pulmonary and activation-regulated,chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated),chemokine (C-C motif) ligand 18	C-C motif chemokine ligand 18
CCL19	small inducible cytokine subfamily A (Cys-Cys), member 19,chemokine (C-C motif) ligand 19; CC chemokine ligand 19,macrophage inflammatory protein 3-beta,beta chemokine exodus-3,CK beta-11,EBI1-ligand chemokine; ELC,MIP-3b,exodus-3,CKb11	C-C motif chemokine ligand 19
CCL2	monocyte chemotactic protein 1, homologous to mouse Sig-je,monocyte chemoattractant protein-1,monocyte chemotactic and activating factor,monocyte secretory protein JE,small inducible cytokine subfamily A (Cys-Cys), member 2; small inducible cytokine A2 (monocyte chemotactic protein 1, homologous to mouse Sig-je),chemokine (C-C motif) ligand 2; MCP1,MCP-1,MCAF,SMC-CF,GDCF-2,HC11,MGC9434	C-C motif chemokine ligand 2
CCL20	small inducible cytokine subfamily A (Cys-Cys), member 20,chemokine (C-C motif) ligand 20; LARC,MIP-3a,exodus-1,ST38,CKb4	C-C motif chemokine ligand 20
CCL21	SLC,exodus-2,TCA4,CKb9,6Ckine,ECL; small inducible cytokine subfamily A (Cys-Cys), member 21,chemokine (C-C motif) ligand 21; beta chemokine exodus-2,secondary lymphoid tissue chemokine,Efficient Chemoattractant for Lymphocytes	C-C motif chemokine ligand 21
CCL23	small inducible cytokine subfamily A (Cys-Cys), member 23,chemokine (C-C motif) ligand 23; Ckb-8,MPIF-1,MIP-3,CKb8	C-C motif chemokine ligand 23
CCL26	MIP-4alpha,eotaxin-3,IMAC,MIP-4a,TSC-1; small inducible cytokine subfamily A (Cys-Cys), member 26,chemokine (C-C motif) ligand 26; macrophage inflammatory protein 4-alpha,small inducible cytokine A26,CC chemokine IMAC,chemokine N1,thymic stroma chemokine-1,eotaxin-3	C-C motif chemokine ligand 26
CCL28	SCYA28,MEC,CCK1; CC chemokine CCL28,mucosae-associated epithelial chemokine,small inducible cytokine subfamily A (Cys-Cys), member 28,small inducible cytokine A28; chemokine (C-C motif) ligand 28	C-C motif chemokine ligand 28
CCL3	small inducible cytokine A3 (homologous to mouse Mip-1a),chemokine (C-C motif) ligand 3; G0S19-1,LD78ALPHA,MIP-1-alpha	C-C motif chemokine ligand 3
CCL3L3	chemokine (C-C motif) ligand 3-like 3; MGC12815	C-C motif chemokine ligand 3 like 3
CCL4	MIP-1-beta,Act-2,AT744.1; small inducible cytokine A4 (homologous to mouse Mip-1b),chemokine (C-C motif) ligand 4	C-C motif chemokine ligand 4
CCL4L2	chemokine (C-C motif) ligand 4-like 2	C-C motif chemokine ligand 4 like 2
CCL5	RANTES,SISd,TCP228,MGC17164; T-cell specific protein p288,T-cell specific RANTES protein,SIS-delta,regulated upon activation, normally T-expressed, and presumably secreted,beta-chemokine RANTES,small inducible cytokine subfamily A (Cys-Cys), member 5; small inducible cytokine A5 (RANTES),chemokine (C-C motif) ligand 5	C-C motif chemokine ligand 5
CCL7	monocyte chemoattractant protein 3,monocyte chemotactic protein 3; MCP-3,NC28,FIC,MARC,MCP3; small inducible cytokine A7 (monocyte chemotactic protein 3),chemokine (C-C motif) ligand 7	C-C motif chemokine ligand 7
CCL8	MCP-2,HC14; small inducible cytokine subfamily A (Cys-Cys), member 8 (monocyte chemotactic protein 2),chemokine (C-C motif) ligand 8	C-C motif chemokine ligand 8
CCND1	cyclin D1 (PRAD1: parathyroid adenomatosis 1); U21B31; parathyroid adenomatosis 1,B-cell CLL/lymphoma 1,G1/S-specific cyclin D1	cyclin D1
CCR1	CKR-1,MIP1aR,CD191; chemokine (C-C motif) receptor 1	C-C motif chemokine receptor 1
CCR10	G protein-coupled receptor 2,chemokine (C-C motif) receptor 10	C-C motif chemokine receptor 10
CCR2	CC-CKR-2,CKR2,MCP-1-R,CD192,FLJ78302; chemokine (C-C motif) receptor 2	C-C motif chemokine receptor 2
CCR5	chemokine (C-C motif) receptor 5,chemokine (C-C motif) receptor 5 (gene/pseudogene),C-C motif chemokine receptor 5 (gene/pseudogene); CKR-5,CC-CKR-5,CKR5,CD195,IDDM22	C-C motif chemokine receptor 5
CCR7	chemokine (C-C motif) receptor 7; BLR2,CDw197,CD197	C-C motif chemokine receptor 7
CCRL2	HCR,CRAM-B,CKRX,CRAM-A,ACKR5; chemokine (C-C motif) receptor-like 2; atypical chemokine receptor 5	C-C motif chemokine receptor like 2
CD14	CD14 antigen	CD14 molecule
CD163	M130,MM130,SCARI1; CD163 antigen	CD163 molecule
CD164	deafness, autosomal dominant 66; MUC-24,MGC-24,DFNA66; CD164 antigen, sialomucin,CD164 molecule, sialomucin	CD164 molecule
CD19	CD19 antigen	CD19 molecule
CD2	CD2 antigen (p50), sheep red blood cell receptor	CD2 molecule
CD209	CD209 antigen; DC-SIGN,CDSIGN,DC-SIGN1,CLEC4L	CD209 molecule
CD24	CD24 antigen (small cell lung carcinoma cluster 4 antigen); CD24A	CD24 molecule
CD27	S152,Tp55; tumor necrosis factor receptor superfamily, member 7	CD27 molecule
CD274	B7-H,B7H1,PD-L1,PDL1,B7-H1; programmed cell death 1 ligand 1,CD274 antigen; B7 homolog 1	CD274 molecule
CD276	CD276 antigen; B7-H3,B7H3,B7RP-2	CD276 molecule
CD28	CD28 antigen (Tp44); T-cell-specific surface glycoprotein	CD28 molecule
CD300A	CD300a antigen; Irp60,CMRF35H,CMRF-35-H9,IRC1,IRC2,IGSF12	CD300a molecule
CD33	sialic acid binding Ig-like lectin 3; CD33 antigen (gp67); SIGLEC3,SIGLEC-3,p67,FLJ00391	CD33 molecule
CD34	CD34 antigen	CD34 molecule
CD36	CD36 antigen (collagen type I receptor, thrombospondin receptor),CD36 molecule (thrombospondin receptor); SCARB3,GPIV,FAT,GP4,GP3B	CD36 molecule
CD37	CD37 antigen; TSPAN26	CD37 molecule
CD38	ADP-ribosyl cyclase 1,NAD(+) nucleosidase; CD38 antigen (p45)	CD38 molecule
CD3D	CD3d antigen, delta polypeptide (TiT3 complex),CD3d molecule, delta (CD3-TCR complex)	CD3d molecule
CD3E	CD3e antigen, epsilon polypeptide (TiT3 complex),CD3e molecule, epsilon (CD3-TCR complex)	CD3e molecule
CD3G	CD3g antigen, gamma polypeptide (TiT3 complex),CD3g molecule, gamma (CD3-TCR complex)	CD3g molecule
CD4	CD4 antigen (p55),T-cell surface glycoprotein CD4	CD4 molecule
CD40	tumor necrosis factor receptor superfamily, member 5,CD40 molecule, TNF receptor superfamily member 5; p50,Bp50	CD40 molecule
CD40LG	CD40L,TRAP,gp39,hCD40L,CD154; tumor necrosis factor (ligand) superfamily, member 5 (hyper-IgM syndrome); CD40 antigen ligand,tumor necrosis factor (ligand) superfamily member 5,T-B cell-activating molecule,TNF-related activation protein,hyper-IgM syndrome	CD40 ligand
CD44	CD44 antigen (homing function and Indian blood group system); IN,MC56,Pgp1,CD44R,HCELL,CSPG8; hematopoietic cell E- and L-selectin ligand,chondroitin sulfate proteoglycan 8	CD44 molecule (Indian blood group)
CD47	antigen identified by monoclonal antibody 1D8,antigenic surface determinant protein OA3,integrin associated protein,Rh-related antigen,leukocyte surface antigen CD47,CD47 glycoprotein; IAP,OA3; CD47 antigen (Rh-related antigen, integrin-associated signal transducer)	CD47 molecule
CD48	BLAST,mCD48,hCD48,SLAMF2; CD48 antigen (B-cell membrane protein),CD48 molecule 	CD48 molecule
CD52	HE5,EDDM5; CD52 antigen (CAMPATH-1 antigen)	CD52 molecule
CD53	CD53 antigen; TSPAN25	CD53 molecule
CD55	CR,TC,CROM; decay accelerating factor for complement (CD55, Cromer blood group system),CD55 molecule, decay accelerating factor for complement (Cromer blood group)	CD55 molecule (Cromer blood group)
CD58	CD58 antigen, (lymphocyte function-associated antigen 3)	CD58 molecule
CD59	16.3A5,EJ16,EJ30,EL32,G344,p18-20; CD59 antigen p18-20 (antigen identified by monoclonal antibodies 16.3A5, EJ16, EJ30, EL32 and G344),CD59 antigen, complement regulatory protein,CD59 molecule, complement regulatory protein,CD59 molecule	CD59 molecule (CD59 blood group)
CD5L	apoptosis inhibitor 6,CD5 antigen-like (scavenger receptor cysteine rich family),CD5 molecule-like; Spalpha	CD5 molecule like
CD63	ME491,TSPAN30; CD63 antigen (melanoma 1 antigen)	CD63 molecule
CD68	scavenger receptor class D, member 1,CD68 antigen,macrophage antigen CD68; SCARD1,macrosialin,GP110,DKFZp686M18236,LAMP4; CD68 antigen	CD68 molecule
CD69	CLEC2C; CD69 antigen (p60, early T-cell activation antigen)	CD69 molecule
CD70	tumor necrosis factor (ligand) superfamily, member 7; CD27L	CD70 molecule
CD74	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated),CD74 molecule, major histocompatibility complex, class II invariant chain; HLA-DR-gamma,Ia-associated invariant chain,gamma chain of class II antigens,MHC HLA-DR gamma chain	CD74 molecule
CD79A	CD79A antigen (immunoglobulin-associated alpha),CD79a molecule, immunoglobulin-associated alpha; B-cell antigen receptor complex-associated protein alpha chain; MB-1	CD79a molecule
CD80	B-lymphocyte activation antigen B7; B7.1,B7-1; CD80 antigen (CD28 antigen ligand 1, B7-1 antigen),CD80 molecule 	CD80 molecule
CD81	CD81 antigen (target of antiproliferative antibody 1); TAPA-1,TSPAN28	CD81 molecule
CD83	HB15,BL11; CD83 antigen (activated B lymphocytes, immunoglobulin superfamily),CD83 molecule 	CD83 molecule
CD84	CD84 antigen (leukocyte antigen),CD84 molecule ; SLAMF5,hCD84,mCD84	CD84 molecule
CD86	B-lymphocyte antigen B7-2; B7.2,B7-2; CD86 antigen (CD28 antigen ligand 2, B7-2 antigen)	CD86 molecule
CD8A	CD8 antigen, alpha polypeptide (p32),T-cell surface glycoprotein CD8 alpha chain	CD8a molecule
CD8B	CD8 antigen, beta polypeptide 1 (p37)	CD8b molecule
CD9	CD9 antigen (p24); motility related protein-1; BA2,P24,TSPAN29,MRP-1	CD9 molecule
CDH1	E-Cadherin; cadherin 1, type 1, E-cadherin (epithelial); uvomorulin,CD324	cadherin 1
CDH11	OB,CAD11; OB-Cadherin; cadherin 11, type 2, OB-cadherin (osteoblast)	cadherin 11
CDH5	cadherin 5, type 2, VE-cadherin (vascular epithelium),cadherin 5, type 2 (vascular endothelium); VE-cadherin; 7B4,CD144	cadherin 5
CDKN1A	P21,CIP1,WAF1,SDI1,CAP20,p21CIP1,p21Cip1/Waf1,p21; cyclin-dependent kinase inhibitor 1A (p21, Cip1)	cyclin dependent kinase inhibitor 1A
CDKN3	kinase associated phosphatase,cyclin-dependent kinase inhibitor,CDK2-associated dual specificity phosphatase; KAP,CDI1	cyclin dependent kinase inhibitor 3
CEACAM1	BGP1,CD66a; carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein),carcinoembryonic antigen related cell adhesion molecule 1	CEA cell adhesion molecule 1
CEACAM6	CD66c; carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen),carcinoembryonic antigen related cell adhesion molecule 6	CEA cell adhesion molecule 6
CELSR1	cadherin, EGF LAG seven-pass G-type receptor 1, flamingo (Drosophila) homolog,cadherin, EGF LAG seven-pass G-type receptor 1; ME2,HFMI2,FMI2,CDHF9,ADGRC1; flamingo homolog 2 (Drosophila),adhesion G protein-coupled receptor C1	cadherin EGF LAG seven-pass G-type receptor 1
CELSR2	adhesion G protein-coupled receptor C2; KIAA0279,MEGF3,Flamingo1,CDHF10,ADGRC2; cadherin, EGF LAG seven-pass G-type receptor 2, flamingo (Drosophila) homolog,cadherin, EGF LAG seven-pass G-type receptor 2	cadherin EGF LAG seven-pass G-type receptor 2
CENPF	hcp-1; centromere protein F, 350/400kDa (mitosin),centromere protein F, 350/400kDa; mitosin	centromere protein F
CFD	D component of complement (adipsin),properdin factor D,complement factor D (adipsin); adipsin; ADN	complement factor D
CFLAR	CASH,Casper,CLARP,FLAME,FLIP,I-FLICE,MRIT,c-FLIP,cFLIP; CASP8 and FADD-like apoptosis regulator	CASP8 and FADD like apoptosis regulator
CHEK1	CHK1; CHK1 (checkpoint, S.pombe) homolog,CHK1 checkpoint homolog (S. pombe)	checkpoint kinase 1
CHEK2	CHK2 (checkpoint, S.pombe) homolog,CHK2 checkpoint homolog (S. pombe); CDS1,CHK2,HuCds1,PP1425,bA444G7	checkpoint kinase 2
CHGA	vasostatin,pancreastatin,parastatin,parathyroid secretory protein 1	chromogranin A
CHI3L1	chitinase 3-like 1 (cartilage glycoprotein-39); cartilage glycoprotein-39; GP39,YKL40,YK-40	chitinase 3 like 1
CIDEA	cell death-inducing DFFA-like effector a; CIDE-A	cell death inducing DFFA like effector a
CIITA	MHC class II transactivator,class II, major histocompatibility complex, transactivator; NLR family, acid domain containing,nucleotide-binding oligomerization domain, leucine rich repeat and acid domain containing; C2TA,NLRA	class II major histocompatibility complex transactivator
CLCF1	B-cell stimulating factor 3,cold-induced sweating syndrome 2,novel neurotrophin-1; CRLF1 associated cytokine-like factor 1; NNT1,BSF3,CLC,NR6,CISS2,BSF-3,NNT-1	cardiotrophin like cytokine factor 1
CLDN4	Clostridium perfringens enterotoxin receptor 1,Williams-Beuren syndrome chromosomal region 8 protein; CPE-R,WBSCR8,hCPE-R	claudin 4
CLEC10A	HML2,HML,CD301; C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 14 (macrophage-derived),C-type lectin domain family 10, member A,C-type lectin domain family 10 member A; macrophage lectin 2 (calcium dependent)	C-type lectin domain containing 10A
CLEC12A	C-type lectin domain family 12, member A; dendritic cell-associated lectin 2,myeloid inhibitory C-type lectin-like receptor; CLL-1,MICL,CD371,DCAL-2	C-type lectin domain family 12 member A
CLEC14A	chromosome 14 open reading frame 27,C-type lectin domain family 14, member A,C-type lectin domain family 14 member A	C-type lectin domain containing 14A
CLEC1A	C-type lectin domain family 1, member A; CLEC1,MGC34328	C-type lectin domain family 1 member A
CLEC2B	C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 2 (activation-induced),C-type lectin domain family 2, member B; AICL,HP10085	C-type lectin domain family 2 member B
CLEC2D	C-type lectin related f,lectin-like transcript 1; LLT1,CLAX,OCIL; C-type lectin superfamily 2, member D,C-type lectin domain family 2, member D	C-type lectin domain family 2 member D
