cluster	gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj
1-1	MOSPD1	1.4E-47	0.54	54.3%	35.2%	3.4E-43
1-1	TMEM190	1.3E-42	1.20	48.4%	27.7%	3.2E-38
1-1	CRIP1	8.6E-42	0.50	89.8%	76.1%	2.1E-37
1-1	MT-ND4L	2.4E-41	0.51	80.8%	65.4%	6.0E-37
1-1	GOLM1	1.5E-34	0.48	49.3%	35.8%	3.8E-30
1-1	ASRGL1	3.0E-25	0.49	69.3%	61.7%	7.4E-21
1-1	SCGB1D4	8.8E-22	0.78	40.0%	24.4%	2.2E-17
1-1	GSTA1	8.9E-18	0.60	34.0%	21.3%	2.2E-13
1-1	PGR	2.2E-16	0.79	43.4%	34.8%	5.5E-12
1-1	G0S2	1.6E-14	0.53	79.7%	70.7%	4.0E-10
1-1	FGA	2.3E-09	0.57	38.1%	29.2%	5.8E-05
1-1	RRAD	1.6E-07	0.54	66.0%	62.0%	4.0E-03
1-2	RPS18	1.3E-53	0.53	98.7%	99.0%	3.1E-49
1-2	RPL26	2.0E-52	0.55	98.2%	99.4%	5.1E-48
1-2	RPS27	4.0E-50	0.50	99.0%	99.4%	1.0E-45
1-2	CDC20B	7.9E-50	0.64	13.4%	0.6%	2.0E-45
1-2	RPS3A	3.3E-48	0.49	97.7%	99.3%	8.3E-44
1-2	RPL17	6.4E-45	0.52	97.7%	98.4%	1.6E-40
1-2	RPL32	6.3E-44	0.50	97.9%	99.5%	1.6E-39
1-2	RPS23	2.2E-43	0.49	98.7%	99.0%	5.4E-39
1-2	RPL37A	2.7E-42	0.52	96.6%	99.0%	6.8E-38
1-2	RPL12	5.3E-42	0.50	98.4%	98.8%	1.3E-37
1-2	RPL37	6.6E-41	0.54	93.5%	99.1%	1.7E-36
1-2	RPL27A	3.6E-40	0.65	86.8%	97.5%	8.9E-36
1-2	RPL6	7.5E-38	0.49	93.8%	99.0%	1.9E-33
1-2	RPL21	1.7E-37	0.48	95.6%	99.2%	4.2E-33
1-2	RPL36A	7.0E-37	0.60	88.4%	96.9%	1.7E-32
1-2	RPL39	3.3E-35	0.55	93.5%	99.0%	8.2E-31
1-2	RPS20	1.3E-23	0.54	81.1%	97.1%	3.3E-19
1-2	RPL31	3.6E-17	0.51	75.5%	96.1%	9.1E-13
1-2	RPS17	4.6E-16	0.51	69.0%	94.1%	1.1E-11
1-2	CALM3	8.9E-16	0.48	25.3%	65.5%	2.2E-11
1-2	XIST	1.0E-10	0.50	32.0%	64.6%	2.5E-06
1-2	ARGLU1	6.2E-10	0.50	37.5%	74.0%	1.6E-05
1-2	RNPC3	3.3E-07	0.52	17.1%	32.3%	8.3E-03
1-2	S100A8	3.7E-05	1.09	20.2%	14.6%	9.2E-01
1-2	CCNO	5.4E-04	0.90	14.2%	25.3%	1.0E+00
1-2	NME2	6.3E-04	0.48	64.1%	88.4%	1.0E+00
1-2	S100A9	1.3E-03	1.12	25.1%	22.9%	1.0E+00
1-2	EVL	2.0E-03	0.53	16.8%	12.7%	1.0E+00
1-2	AHI1	3.1E-03	0.74	34.9%	59.4%	1.0E+00
1-2	LGALS1	3.3E-03	0.55	22.2%	35.0%	1.0E+00
1-3	MSLN	1.0E-291	1.36	98.2%	20.8%	2.5E-287
1-3	ASS1	1.1E-290	0.67	86.4%	8.6%	2.7E-286
1-3	TTYH1	2.1E-280	0.68	86.4%	9.7%	5.4E-276
1-3	FAM107A	3.0E-270	0.66	82.3%	8.2%	7.6E-266
1-3	LYPD1	4.6E-255	0.84	86.4%	12.3%	1.1E-250
1-3	LY6E	1.3E-242	0.81	92.8%	17.5%	3.2E-238
1-3	CRABP2	2.5E-240	0.59	74.9%	7.1%	6.2E-236
1-3	FXYD5	4.2E-235	0.57	77.0%	8.2%	1.0E-230
1-3	C3	8.4E-232	0.73	87.9%	14.2%	2.1E-227
1-3	PDZK1IP1	2.4E-224	0.74	85.2%	13.4%	6.0E-220
1-3	CAV1	2.5E-217	0.62	83.2%	12.2%	6.2E-213
1-3	RPS3	5.2E-216	1.05	100.0%	97.6%	1.3E-211
1-3	RPS12	7.5E-212	1.11	100.0%	98.6%	1.9E-207
1-3	DAPL1	1.3E-210	0.88	94.0%	22.8%	3.2E-206
1-3	RPL5	2.6E-208	0.92	100.0%	97.6%	6.6E-204
1-3	HLA-DPA1	6.1E-208	0.89	79.5%	12.9%	1.5E-203
1-3	PPP1R14B	2.0E-207	0.66	89.5%	20.3%	5.0E-203
1-3	CDC42EP1	2.6E-207	0.67	85.6%	16.0%	6.5E-203
1-3	RPL10	6.8E-206	0.89	100.0%	99.2%	1.7E-201
1-3	RPS21	7.4E-206	0.88	100.0%	96.1%	1.8E-201
1-3	HLA-DMA	1.2E-205	0.71	89.3%	18.3%	3.0E-201
1-3	RPL7A	1.4E-202	0.90	100.0%	98.9%	3.5E-198
1-3	HES4	7.9E-202	0.97	95.5%	28.3%	2.0E-197
1-3	RPL12	1.4E-201	1.03	100.0%	98.4%	3.4E-197
1-3	SCARA3	1.0E-199	0.51	78.4%	13.0%	2.6E-195
1-3	RPS18	2.5E-199	1.03	100.0%	98.7%	6.3E-195
1-3	CLU	9.9E-197	1.23	100.0%	87.7%	2.5E-192
1-3	RPL8	3.8E-195	0.81	100.0%	98.0%	9.4E-191
1-3	RPS19	1.2E-193	0.97	100.0%	98.6%	2.9E-189
1-3	IL4I1	1.5E-193	0.53	63.7%	6.3%	3.7E-189
1-3	RPLP1	1.8E-193	0.79	100.0%	99.2%	4.6E-189
1-3	RPS8	4.5E-193	0.76	100.0%	98.9%	1.1E-188
1-3	HLA-DPB1	2.5E-192	0.64	76.2%	12.0%	6.3E-188
1-3	RPL29	5.6E-192	0.85	100.0%	98.1%	1.4E-187
1-3	RPS14	4.7E-191	0.76	100.0%	98.8%	1.2E-186
1-3	RPL28	1.2E-190	0.79	100.0%	98.3%	2.9E-186
1-3	RPL14	1.8E-190	0.81	100.0%	97.6%	4.4E-186
1-3	SNCG	4.7E-190	0.68	69.6%	9.0%	1.2E-185
1-3	RPS2	5.0E-190	0.93	100.0%	98.0%	1.3E-185
1-3	RPL18	1.4E-189	0.83	100.0%	97.4%	3.6E-185
1-3	RPS4X	1.5E-188	0.76	100.0%	99.1%	3.8E-184
1-3	H19	2.3E-188	0.98	80.3%	16.0%	5.7E-184
1-3	RPLP0	1.9E-187	0.90	100.0%	95.7%	4.9E-183
1-3	RPL30	7.9E-187	0.74	100.0%	98.6%	2.0E-182
1-3	RPS23	1.2E-186	0.82	100.0%	98.6%	2.9E-182
1-3	RPL3	2.9E-186	0.77	100.0%	98.8%	7.3E-182
1-3	S100A16	4.9E-186	0.59	86.2%	18.3%	1.2E-181
1-3	RPL41	3.3E-184	0.59	100.0%	99.7%	8.3E-180
1-3	RPS24	2.3E-183	0.67	100.0%	99.1%	5.9E-179
1-3	SNHG29	2.8E-183	1.18	96.9%	80.3%	7.0E-179
1-3	EEF1A1	3.1E-182	0.61	100.0%	99.5%	7.9E-178
1-3	RPL13	9.3E-182	0.76	100.0%	99.6%	2.3E-177
1-3	RPS15A	3.6E-180	0.70	100.0%	97.0%	8.9E-176
1-3	RPL18A	9.7E-180	0.76	100.0%	97.7%	2.4E-175
1-3	MMP7	4.8E-179	1.21	87.3%	21.6%	1.2E-174
1-3	RPL11	2.1E-178	0.69	100.0%	99.0%	5.1E-174
1-3	RPL32	2.1E-177	0.75	100.0%	99.0%	5.2E-173
1-3	GAS5	9.2E-177	1.19	95.9%	52.2%	2.3E-172
1-3	KRT7	3.3E-176	1.18	97.3%	48.3%	8.3E-172
1-3	RPS5	3.8E-176	0.80	100.0%	96.1%	9.4E-172
1-3	RACK1	8.8E-176	0.73	100.0%	96.0%	2.2E-171
1-3	RPS9	1.8E-175	0.72	100.0%	97.1%	4.4E-171
1-3	RPL19	3.5E-174	0.63	100.0%	98.7%	8.8E-170
1-3	RPL36A	1.1E-173	0.86	100.0%	94.5%	2.7E-169
1-3	IFITM3	1.2E-173	1.00	100.0%	84.9%	3.1E-169
1-3	RPS15	1.9E-173	0.64	100.0%	98.0%	4.8E-169
1-3	HMGA1	2.0E-173	0.61	88.7%	22.7%	5.0E-169
1-3	CXCL3	1.5E-172	1.07	72.9%	13.0%	3.6E-168
1-3	RPS27A	1.5E-172	0.63	100.0%	99.2%	3.7E-168
1-3	RPL26	6.6E-172	0.74	100.0%	99.0%	1.7E-167
1-3	RPS28	3.7E-171	0.65	100.0%	97.7%	9.1E-167
1-3	RPL39	1.4E-169	0.66	100.0%	97.7%	3.4E-165
1-3	RPL10A	3.1E-168	0.72	100.0%	98.1%	7.8E-164
1-3	RPL36	1.8E-167	0.64	100.0%	97.5%	4.4E-163
1-3	RPS3A	7.4E-167	0.64	100.0%	98.8%	1.8E-162
1-3	RPL37	5.6E-164	0.64	100.0%	97.7%	1.4E-159
1-3	ZFAS1	7.9E-164	0.81	99.0%	61.0%	2.0E-159
1-3	EEF1B2	2.3E-163	0.78	100.0%	89.7%	5.8E-159
1-3	RPL34	1.1E-160	0.58	100.0%	98.9%	2.8E-156
1-3	RPS13	3.1E-160	0.64	100.0%	97.5%	7.7E-156
1-3	RPL15	4.4E-160	0.55	100.0%	97.1%	1.1E-155
1-3	HLA-DQB1	1.4E-159	0.54	81.5%	17.4%	3.6E-155
1-3	RPLP2	1.7E-157	0.60	100.0%	95.1%	4.1E-153
1-3	RPS6	1.6E-156	0.61	100.0%	98.6%	4.1E-152
1-3	NACA	5.3E-156	0.60	100.0%	96.1%	1.3E-151
1-3	ADIRF	8.4E-155	0.76	92.8%	31.8%	2.1E-150
1-3	CRYAB	4.3E-154	1.30	84.6%	23.4%	1.1E-149
1-3	RPL35A	1.7E-152	0.54	100.0%	98.2%	4.2E-148
1-3	ISYNA1	5.6E-152	0.71	97.5%	43.1%	1.4E-147
1-3	RPS27	1.0E-150	0.58	100.0%	99.1%	2.5E-146
1-3	SNHG8	4.1E-150	0.77	98.8%	63.0%	1.0E-145
1-3	RPS7	5.1E-150	0.52	100.0%	97.0%	1.3E-145
1-3	TFPI2	1.0E-149	0.96	84.2%	23.5%	2.5E-145
1-3	CXCL2	2.0E-149	1.64	92.6%	45.8%	4.9E-145
1-3	RPL7	4.6E-149	0.62	100.0%	93.0%	1.2E-144
1-3	TNFAIP2	7.8E-149	0.81	87.3%	25.7%	1.9E-144
1-3	BCAM	1.2E-148	0.79	97.5%	47.9%	2.9E-144
1-3	RPL6	1.2E-147	0.55	100.0%	97.7%	3.1E-143
1-3	CD74	1.4E-147	1.05	99.6%	76.2%	3.5E-143
1-3	RPSA	1.7E-147	0.62	100.0%	95.4%	4.2E-143
1-3	RPS25	2.0E-146	0.52	100.0%	98.2%	5.0E-142
1-3	RPL9	1.9E-145	0.52	100.0%	97.3%	4.7E-141
1-3	HLA-DRB1	3.6E-142	1.02	95.1%	46.6%	9.0E-138
1-3	RPL23A	6.7E-142	0.54	100.0%	97.2%	1.7E-137
1-3	HLA-DRA	1.9E-141	0.94	97.3%	49.7%	4.8E-137
1-3	CRISP3	6.6E-141	1.02	96.5%	58.1%	1.6E-136
1-3	RPL24	2.0E-140	0.49	100.0%	97.7%	4.9E-136
1-3	NPM1	3.4E-140	0.64	99.8%	87.9%	8.4E-136
1-3	TUBA1C	1.0E-139	0.66	90.1%	30.4%	2.5E-135
1-3	IMPDH2	1.5E-139	0.59	93.4%	42.5%	3.8E-135
1-3	RPS10	3.2E-138	0.57	100.0%	92.8%	8.0E-134
1-3	SLC25A6	4.7E-138	0.68	99.2%	64.4%	1.2E-133
1-3	RPL17	1.5E-137	0.64	100.0%	97.8%	3.7E-133
1-3	C19orf33	2.3E-134	0.73	99.2%	65.7%	5.7E-130
1-3	RPL22	4.9E-132	0.48	100.0%	94.7%	1.2E-127
1-3	RPL4	2.1E-130	0.57	99.6%	88.7%	5.2E-126
1-3	NME2	2.5E-130	0.67	98.1%	81.2%	6.4E-126
1-3	EEF2	5.1E-129	0.59	99.8%	78.2%	1.3E-124
1-3	RSL1D1	3.7E-128	0.54	95.1%	44.4%	9.4E-124
1-3	MARCKSL1	1.8E-127	0.47	79.5%	21.7%	4.4E-123
1-3	EEF1D	6.4E-127	0.60	99.6%	79.0%	1.6E-122
1-3	EEF1G	8.4E-127	0.59	98.4%	88.0%	2.1E-122
1-3	TACSTD2	2.6E-126	0.80	96.3%	50.3%	6.4E-122
1-3	GPX3	5.1E-126	0.49	62.4%	12.5%	1.3E-121
1-3	PPA1	1.0E-125	0.57	96.9%	51.9%	2.6E-121
1-3	RPS16	2.8E-122	0.47	100.0%	96.8%	6.9E-118
1-3	IGFBP2	4.2E-122	0.51	89.1%	30.5%	1.1E-117
1-3	TPM4	8.7E-120	0.72	98.2%	59.5%	2.2E-115
1-3	MYADM	7.1E-118	0.58	93.4%	40.5%	1.8E-113
1-3	EIF3H	1.4E-116	0.48	96.3%	51.9%	3.6E-112
1-3	CXCL1	6.0E-116	1.58	76.2%	27.0%	1.5E-111
1-3	CLDN1	9.2E-116	0.63	83.2%	30.8%	2.3E-111
1-3	TUBB	1.3E-115	0.54	94.7%	43.9%	3.2E-111
1-3	RBM3	2.0E-115	0.54	96.5%	54.3%	4.9E-111
1-3	MDK	4.4E-114	0.53	89.5%	36.4%	1.1E-109
1-3	RPS26	2.4E-110	0.47	100.0%	94.5%	6.0E-106
1-3	PTX3	4.6E-109	0.52	44.2%	6.0%	1.2E-104
1-3	RPL13A	1.8E-108	0.50	100.0%	97.0%	4.4E-104
1-3	GAPDH	1.6E-107	0.50	100.0%	93.2%	4.0E-103
1-3	NOP53	8.3E-102	0.47	98.4%	70.7%	2.1E-97
1-3	GAS6	7.7E-101	0.54	98.8%	67.5%	1.9E-96
1-3	ID4	1.6E-100	0.77	95.5%	53.1%	3.9E-96
1-3	TNFRSF12A	4.2E-97	0.67	98.1%	56.4%	1.1E-92
1-3	ACTG1	4.1E-95	0.50	100.0%	95.8%	1.0E-90
1-3	CD9	7.0E-92	0.51	99.8%	82.9%	1.8E-87
1-3	SERPINA3	2.1E-90	0.51	42.1%	7.0%	5.3E-86
1-3	LCN2	4.0E-80	0.70	96.1%	51.1%	9.9E-76
1-3	KRT17	9.3E-73	0.73	84.8%	40.9%	2.3E-68
1-3	KRT18	2.8E-72	0.56	100.0%	93.2%	7.1E-68
1-3	TM4SF1	8.8E-72	0.49	94.2%	50.1%	2.2E-67
1-3	BIRC3	9.1E-61	0.57	87.5%	48.5%	2.3E-56
1-3	CCL2	6.0E-60	0.67	91.6%	56.6%	1.5E-55
1-3	JUN	3.2E-58	0.55	99.6%	78.2%	7.9E-54
1-3	SOD2	9.7E-49	0.51	98.1%	78.0%	2.4E-44
1-3	CCL20	1.0E-44	0.76	37.4%	11.5%	2.5E-40
1-3	CXCL8	6.8E-36	0.54	63.7%	32.6%	1.7E-31
1-4	SPARC	1.4E-181	0.99	63.2%	3.0%	3.5E-177
1-4	TIMP3	2.7E-164	1.19	77.8%	6.7%	6.7E-160
1-4	TIMP2	4.8E-158	0.67	69.4%	5.2%	1.2E-153
1-4	HSPB6	1.4E-154	0.77	61.1%	3.8%	3.6E-150
1-4	PRRX1	2.1E-136	0.54	45.8%	1.9%	5.3E-132
1-4	PLAC9	2.7E-133	0.90	43.8%	1.8%	6.6E-129
1-4	MFAP4	2.5E-132	0.51	46.5%	2.2%	6.3E-128
1-4	CRISPLD2	1.1E-130	1.05	70.1%	7.2%	2.8E-126
1-4	LMOD1	9.1E-129	0.47	38.9%	1.3%	2.3E-124
1-4	FBN1	1.5E-125	0.70	35.4%	1.0%	3.8E-121
1-4	ADAMTS4	4.5E-125	0.86	59.0%	4.8%	1.1E-120
1-4	MEG3	5.3E-123	0.88	43.1%	2.0%	1.3E-118
1-4	PMP22	7.4E-116	0.58	64.6%	6.8%	1.9E-111
1-4	MMP2	2.4E-111	0.49	37.5%	1.6%	6.0E-107
1-4	SLC2A3	8.8E-107	0.50	47.9%	3.4%	2.2E-102
1-4	SPARCL1	7.2E-106	2.03	93.1%	24.0%	1.8E-101
1-4	COL6A3	1.9E-98	0.91	42.4%	2.9%	4.6E-94
1-4	AEBP1	9.9E-97	0.52	38.9%	2.4%	2.5E-92
1-4	OGN	1.4E-96	0.87	32.6%	1.4%	3.4E-92
1-4	CAVIN2	1.9E-96	0.67	36.1%	1.9%	4.8E-92
1-4	PLPP3	5.1E-94	0.65	60.4%	7.7%	1.3E-89
1-4	CALD1	2.7E-92	1.42	84.7%	20.1%	6.7E-88
1-4	C1S	5.8E-92	0.68	54.2%	6.1%	1.4E-87
1-4	COL6A2	1.2E-91	0.93	74.3%	13.3%	3.1E-87
1-4	COL3A1	1.5E-89	0.88	31.2%	1.4%	3.8E-85
1-4	EMP3	9.7E-89	0.83	74.3%	13.9%	2.4E-84
1-4	FBLN1	5.4E-88	1.52	63.2%	9.9%	1.3E-83
1-4	COL4A2	5.1E-87	0.58	59.7%	8.4%	1.3E-82
1-4	LGALS1	6.0E-87	1.64	94.4%	29.3%	1.5E-82
1-4	SERPINF1	4.3E-86	0.84	66.7%	10.6%	1.1E-81
1-4	NEXN	6.2E-85	0.50	30.6%	1.5%	1.5E-80
1-4	LUM	1.8E-84	0.80	31.2%	1.6%	4.5E-80
1-4	ADAMTS1	2.7E-84	1.25	70.8%	13.2%	6.7E-80
1-4	DCN	1.7E-83	2.04	78.5%	17.7%	4.2E-79
1-4	DPT	8.8E-83	0.48	27.1%	1.1%	2.2E-78
1-4	AKAP12	9.6E-83	1.06	81.9%	19.7%	2.4E-78
1-4	SFRP4	1.1E-81	1.73	47.2%	5.0%	2.7E-77
1-4	COL4A1	1.5E-81	0.49	47.9%	5.3%	3.8E-77
1-4	SFRP1	2.6E-80	1.03	47.9%	5.2%	6.4E-76
1-4	SELENOM	1.4E-79	1.03	84.7%	20.8%	3.5E-75
1-4	BST2	2.0E-79	0.87	78.5%	18.4%	4.9E-75
1-4	FILIP1L	3.2E-79	0.67	42.4%	4.1%	8.0E-75
1-4	A2M	1.0E-75	0.48	36.8%	3.0%	2.5E-71
1-4	ACKR3	3.9E-72	0.63	40.3%	3.9%	9.6E-68
1-4	GEM	6.2E-70	0.73	52.1%	7.7%	1.5E-65
1-4	TGFB1I1	2.9E-69	0.48	49.3%	6.6%	7.3E-65
