cluster	gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj
2-4	GJA4	2.4E-165	0.50	56.9%	38.0%	6.8E-161
2-5	OVGP1	0.0E+00	2.95	95.4%	19.6%	0.0E+00
2-5	CPM	0.0E+00	1.85	94.0%	26.7%	0.0E+00
2-5	PGR	0.0E+00	1.75	94.5%	30.0%	0.0E+00
2-5	PKHD1L1	0.0E+00	1.64	91.4%	15.0%	0.0E+00
2-5	COL1A2	0.0E+00	1.52	90.2%	16.8%	0.0E+00
2-5	CYP1B1	0.0E+00	1.52	90.9%	28.6%	0.0E+00
2-5	EPB41L2	0.0E+00	1.46	95.8%	41.8%	0.0E+00
2-5	MED24	0.0E+00	1.36	88.3%	24.9%	0.0E+00
2-5	SLC12A2	0.0E+00	1.33	93.1%	32.1%	0.0E+00
2-5	SLC26A2	0.0E+00	1.20	88.5%	20.3%	0.0E+00
2-5	GCLC	0.0E+00	1.18	90.3%	22.3%	0.0E+00
2-5	KIAA1324	0.0E+00	1.13	90.0%	14.4%	0.0E+00
2-5	TCN1	0.0E+00	1.05	50.1%	3.1%	0.0E+00
2-5	WDR77	0.0E+00	1.03	95.1%	34.1%	0.0E+00
2-5	PPM1L	0.0E+00	0.93	82.7%	11.1%	0.0E+00
2-5	SCUBE2	0.0E+00	0.93	82.7%	8.2%	0.0E+00
2-5	POSTN	0.0E+00	0.92	75.6%	7.2%	0.0E+00
2-5	SPATA13	0.0E+00	0.92	88.2%	21.5%	0.0E+00
2-5	LGR5	0.0E+00	0.89	82.7%	14.5%	0.0E+00
2-5	DAB2	0.0E+00	0.82	81.1%	18.7%	0.0E+00
2-5	HK2	0.0E+00	0.79	82.3%	14.4%	0.0E+00
2-5	HYOU1	0.0E+00	0.78	83.8%	21.1%	0.0E+00
2-5	SPDEF	0.0E+00	0.78	79.4%	11.1%	0.0E+00
2-5	TNFRSF19	0.0E+00	0.73	79.6%	19.1%	0.0E+00
2-5	INSIG1	0.0E+00	0.72	74.5%	14.7%	0.0E+00
2-5	MEGF9	0.0E+00	0.70	76.1%	17.3%	0.0E+00
2-5	MATN2	0.0E+00	0.67	74.7%	10.5%	0.0E+00
2-5	ACE	0.0E+00	0.66	74.1%	8.2%	0.0E+00
2-5	LINC01541	0.0E+00	0.66	63.2%	2.7%	0.0E+00
2-5	NPAS3	0.0E+00	0.66	78.9%	18.0%	0.0E+00
2-5	RIMS2	0.0E+00	0.64	71.2%	13.8%	0.0E+00
2-5	C1orf162	0.0E+00	0.62	72.9%	12.8%	0.0E+00
2-5	MMP26	0.0E+00	0.61	52.1%	3.5%	0.0E+00
2-5	CPNE5	0.0E+00	0.59	72.9%	9.7%	0.0E+00
2-5	SLC28A3	0.0E+00	0.59	71.0%	13.8%	0.0E+00
2-5	STARD4	0.0E+00	0.58	71.8%	10.4%	0.0E+00
2-5	PRSS12	0.0E+00	0.56	68.9%	10.9%	0.0E+00
2-5	COL12A1	0.0E+00	0.56	56.6%	6.3%	0.0E+00
2-5	PLCB4	0.0E+00	0.54	76.9%	14.3%	0.0E+00
2-5	AC078845.1	0.0E+00	0.51	63.9%	4.7%	0.0E+00
2-5	PGM2L1	2.8E-307	0.95	90.7%	30.6%	7.7E-303
2-5	ABCC4	2.0E-306	0.57	76.7%	17.2%	5.5E-302
2-5	ANO1	1.5E-301	0.59	76.0%	17.4%	4.3E-297
2-5	SEMA3C	5.0E-301	0.54	69.8%	13.7%	1.4E-296
2-5	GALNT4	8.9E-296	0.78	78.9%	20.0%	2.5E-291
2-5	ACSS2	1.1E-290	0.59	72.1%	16.0%	3.0E-286
2-5	SORL1	1.3E-289	1.36	98.4%	58.8%	3.7E-285
2-5	ITPRID2	1.9E-287	0.86	85.6%	26.9%	5.2E-283
2-5	ASRGL1	1.5E-284	1.37	99.1%	77.1%	4.1E-280
2-5	DNAJC10	2.7E-284	0.99	89.6%	32.7%	7.4E-280
2-5	ITGA6	6.2E-284	0.92	94.4%	36.6%	1.7E-279
2-5	ISG20	6.7E-283	0.90	86.2%	27.5%	1.9E-278
2-5	CPD	1.9E-281	0.82	91.8%	33.9%	5.4E-277
2-5	HMGCR	5.3E-281	0.76	79.1%	20.9%	1.5E-276
2-5	PDIA4	1.9E-277	1.37	94.4%	45.6%	5.4E-273
2-5	USP53	4.4E-277	1.58	98.4%	63.2%	1.2E-272
2-5	ARHGAP26	9.8E-274	1.00	94.9%	44.8%	2.7E-269
2-5	CRELD2	2.1E-270	0.97	86.5%	30.8%	5.8E-266
2-5	KCNK6	9.5E-270	0.91	82.0%	24.2%	2.7E-265
2-5	LBH	6.1E-267	1.16	90.5%	37.6%	1.7E-262
2-5	PDIA3	1.6E-266	1.28	99.5%	91.0%	4.4E-262
2-5	SLC7A2	7.6E-263	1.22	98.5%	60.2%	2.1E-258
2-5	AGR2	1.5E-262	1.49	96.2%	52.6%	4.2E-258
2-5	PLA2G4A	3.3E-261	0.64	84.7%	26.6%	9.1E-257
2-5	HSP90B1	1.1E-257	1.52	99.6%	96.6%	3.0E-253
2-5	C2orf88	1.8E-257	0.97	94.7%	40.8%	4.9E-253
2-5	HIF1A	8.8E-256	1.23	98.7%	73.0%	2.5E-251
2-5	HMGCS1	2.1E-255	0.96	84.5%	27.1%	5.8E-251
2-5	CALR	2.9E-255	1.20	99.5%	89.7%	8.2E-251
2-5	AP1S3	5.7E-253	0.53	67.4%	15.1%	1.6E-248
2-5	MARCKS	1.6E-251	1.36	99.6%	84.5%	4.4E-247
2-5	HSPA5	2.7E-250	1.47	99.5%	92.5%	7.5E-246
2-5	SPARCL1	9.7E-249	1.56	95.3%	54.0%	2.7E-244
2-5	EPS8	1.4E-248	0.66	84.5%	28.3%	3.9E-244
2-5	PDIA6	2.3E-246	1.03	98.7%	85.7%	6.6E-242
2-5	DLC1	3.0E-246	0.70	85.8%	28.0%	8.5E-242
2-5	MGST1	1.8E-245	1.13	98.2%	64.8%	5.2E-241
2-5	ELOVL5	4.3E-245	0.67	84.0%	28.0%	1.2E-240
2-5	LIPA	2.4E-244	0.60	77.6%	22.8%	6.7E-240
2-5	MTPN	3.3E-240	1.02	97.4%	73.1%	9.4E-236
2-5	RBBP7	5.5E-237	1.05	98.0%	71.3%	1.5E-232
2-5	SLC27A6	3.1E-236	0.48	76.7%	20.9%	8.7E-232
2-5	PTGS2	6.9E-235	1.16	80.7%	24.7%	1.9E-230
2-5	SPON1	6.2E-234	0.81	91.3%	36.4%	1.7E-229
2-5	SPTLC2	4.3E-232	0.67	86.3%	33.1%	1.2E-227
2-5	TSPAN13	4.7E-231	0.55	81.1%	26.5%	1.3E-226
2-5	CD55	1.7E-230	1.17	98.4%	69.6%	4.8E-226
2-5	XBP1	1.1E-227	0.99	99.1%	88.3%	3.1E-223
2-5	CBLB	1.2E-227	0.51	75.2%	21.1%	3.3E-223
2-5	ATP2A2	1.5E-227	0.73	92.3%	41.8%	4.3E-223
2-5	CD24	2.0E-227	1.03	99.1%	81.5%	5.5E-223
2-5	DNAJC3	2.9E-227	0.94	95.6%	57.0%	8.1E-223
2-5	LPAR3	1.1E-226	0.48	73.2%	19.5%	3.1E-222
2-5	SEC14L1	3.2E-225	0.70	87.6%	36.1%	9.0E-221
2-5	ITGA2	4.9E-225	0.51	69.9%	18.1%	1.4E-220
2-5	SLPI	4.2E-224	1.17	100.0%	99.5%	1.2E-219
2-5	NRIP1	1.0E-221	0.91	93.6%	46.5%	2.9E-217
2-5	ALCAM	1.5E-221	0.87	97.1%	63.4%	4.3E-217
2-5	IRS2	1.4E-219	0.70	86.3%	33.2%	3.9E-215
2-5	CANX	5.8E-219	0.85	99.1%	82.5%	1.6E-214
2-5	CRYBG1	3.3E-218	0.51	75.0%	21.5%	9.3E-214
2-5	SLC7A8	1.8E-217	0.64	85.6%	33.0%	4.9E-213
2-5	SERPINA3	2.4E-217	1.56	83.8%	32.6%	6.9E-213
2-5	PTPN4	1.4E-214	0.49	73.0%	20.8%	4.0E-210
2-5	GALNT7	2.7E-214	0.51	79.1%	25.4%	7.7E-210
2-5	SPCS3	7.6E-214	0.79	95.4%	57.7%	2.1E-209
2-5	DHCR24	1.1E-213	0.82	93.3%	47.0%	3.0E-209
2-5	MANF	1.3E-213	0.86	95.1%	56.8%	3.6E-209
2-5	WFDC2	5.7E-213	0.95	99.8%	99.8%	1.6E-208
2-5	GPD2	5.0E-212	0.50	80.9%	26.4%	1.4E-207
2-5	CD83	3.8E-208	1.04	87.2%	37.1%	1.1E-203
2-5	AIFM1	8.0E-208	0.68	91.4%	44.8%	2.2E-203
2-5	SERINC5	1.9E-207	0.68	89.3%	39.2%	5.2E-203
2-5	ABI3BP	5.0E-207	0.71	74.0%	22.6%	1.4E-202
2-5	SLC9A3R1	3.0E-205	0.81	92.3%	51.6%	8.3E-201
2-5	TMSB10	1.9E-204	0.74	99.8%	99.4%	5.2E-200
2-5	RNASE1	5.4E-204	1.22	95.4%	56.8%	1.5E-199
2-5	PLXDC2	1.5E-203	0.67	87.8%	36.4%	4.2E-199
2-5	MSMO1	1.2E-202	0.83	84.2%	34.5%	3.3E-198
2-5	ITGB8	1.6E-201	0.81	92.0%	46.0%	4.6E-197
2-5	CREB3L4	8.5E-198	0.52	73.6%	23.7%	2.4E-193
2-5	CYBA	1.0E-197	0.68	99.5%	96.4%	2.9E-193
2-5	GNB5	1.8E-196	0.62	85.4%	34.8%	5.1E-192
2-5	DLST	1.8E-194	0.51	75.6%	25.5%	5.0E-190
